primary_label,common_name,scientific_name,class_name,n_positive,perch_mapped,auc_base,auc_final
ruftho1,Rufous-fronted Thornbird,Phacellodomus rufifrons,Aves,0,True,,
ruftof1,Rusty-fronted Tody-Flycatcher,Poecilotriccus latirostris,Aves,0,True,,
rumfly1,Rusty-margined Flycatcher,Myiozetetes cayanensis,Aves,0,True,,
ruther1,Rufescent Tiger Heron,Tigrisoma lineatum,Aves,1,True,0.9985855728429985,0.9985855728429985
rutjac1,Rufous-tailed Jacamar,Galbula ruficauda,Aves,1,True,0.7892503536067892,0.7892503536067892
sabspa1,Saffron-billed Sparrow,Arremon flavirostris,Aves,0,True,,
saffin,Saffron Finch,Sicalis flaveola,Aves,0,True,,
saytan1,Sayaca Tanager,Thraupis sayaca,Aves,0,True,,
scadov1,Scaled Dove,Columbina squammata,Aves,0,True,,
schpar1,Scaly-headed Parrot,Pionus maximiliani,Aves,0,True,,
scther1,Scale-throated Hermit,Phaethornis eurynome,Aves,0,True,,
shcfly1,Short-crested Flycatcher,Myiarchus ferox,Aves,0,True,,
shshaw,Sharp-shinned Hawk,Accipiter striatus,Aves,0,True,,
shtnig1,Short-tailed Nighthawk,Lurocalis semitorquatus,Aves,0,True,,
sibtan2,Silver-beaked Tanager,Ramphocelus carbo,Aves,1,True,1.0,1.0
smbani,Smooth-billed Ani,Crotophaga ani,Aves,0,True,,
smbtin1,Small-billed Tinamou,Crypturellus parvirostris,Aves,0,True,,
sobcac1,Solitary Cacique,Cacicus solitarius,Aves,0,True,,
sobtyr1,Southern Beardless Tyrannulet,Camptostoma obsoletum,Aves,0,True,,
socfly1,Social Flycatcher,Myiozetetes similis,Aves,0,True,,
sofspi1,Sooty-fronted Spinetail,Synallaxis frontalis,Aves,0,True,,
souant1,Southern Antpipit,Corythopis delalandi,Aves,0,True,,
soulap1,Southern Lapwing,Vanellus chilensis,Aves,0,True,,
souscr1,Southern Screamer,Chauna torquata,Aves,0,True,,
spbant3,Spot-backed Antshrike,Hypoedaleus guttatus,Aves,0,True,,
spispi1,Spix's Spinetail,Synallaxis spixi,Aves,0,True,,
sptnig1,Spot-tailed Nightjar,Antiurus maculicaudus,Aves,0,True,,
squcuc1,Common Squirrel-Cuckoo,Piaya cayana,Aves,0,True,,
stbwoo2,Straight-billed Woodcreeper,Dendroplex picus,Aves,0,True,,
strcuc1,Striped Cuckoo,Tapera naevia,Aves,0,True,,
strher2,Striated Heron,Butorides striata,Aves,2,True,0.3958923512747875,0.3958923512747875
strowl1,Striped Owl,Asio clamator,Aves,0,True,,
swthum1,Swallow-tailed Hummingbird,Eupetomena macroura,Aves,0,True,,
swtman1,Swallow-tailed Manakin,Chiroxiphia caudata,Aves,0,True,,
tattin1,Tataupa Tinamou,Crypturellus tataupa,Aves,0,True,,
thlwre1,Thrush-like Wren,Campylorhynchus turdinus,Aves,0,True,,
toctou1,Toco Toucan,Ramphastos toco,Aves,0,True,,
trokin,Tropical Kingbird,Tyrannus melancholicus,Aves,0,True,,
trsowl,Tropical Screech Owl,Megascops choliba,Aves,26,True,0.5562260320324837,0.6733025039476652
undtin1,Undulated Tinamou,Crypturellus undulatus,Aves,43,True,0.8475607623710438,0.6617240776359503
varant1,Variable Antshrike,Thamnophilus caerulescens,Aves,0,True,,
watjac1,Wattled Jacana,Jacana jacana,Aves,0,True,,
